alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.2,2,5,8,40,20,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/8
0.2,2,5,8,100,20,constant,single,0,1,1.0,3,0,0,,,mixture/0.2/2/5/8
0.2,2,5,8,100,20,constant,complete,0,1,1.0,3,0,0,,,mixture/0.2/2/5/8
0.2,2,5,8,100,20,constant,average,0,1,1.0,3,0,0,,,mixture/0.2/2/5/8
0.2,2,5,8,100,20,constant,pam,0,1,1.0,3,0,0,1,0,mixture/0.2/2/5/8
0.2,2,5,9,40,20,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/9
0.2,2,5,9,40,20,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/9
0.2,2,5,9,40,20,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/9
0.2,2,5,9,40,20,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/9
0.2,2,5,9,100,20,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/9
0.2,2,5,9,100,20,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/9
0.2,2,5,9,100,20,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/9
0.2,2,5,9,100,20,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/9
0.2,3,5,0,40,20,constant,single,0,0,0.4909009713073574,2,0,0,,,mixture/0.2/3/5/0
0.2,3,5,0,40,20,constant,complete,0,0,0.8409939487575641,2,0,0,,,mixture/0.2/3/5/0
0.2,3,5,0,40,20,constant,average,0,0,0.8409939487575641,2,0,0,,,mixture/0.2/3/5/0
0.2,3,5,0,40,20,constant,pam,0,0,0.8409939487575641,2,0,0,1,0,mixture/0.2/3/5/0
0.2,3,5,0,100,20,constant,single,0,1,1.0,2,0,0,,,mixture/0.2/3/5/0
0.2,3,5,0,100,20,constant,complete,0,1,1.0,2,0,0,,,mixture/0.2/3/5/0
0.2,3,5,0,100,20,constant,average,0,1,1.0,2,0,0,,,mixture/0.2/3/5/0
0.2,3,5,0,100,20,constant,pam,0,1,1.0,2,0,0,1,0,mixture/0.2/3/5/0
0.2,3,5,1,40,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.2/3/5/1
0.2,3,5,1,40,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.2/3/5/1
0.2,3,5,1,40,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.2/3/5/1
0.2,3,5,1,40,20,constant,pam,0,0,0.8291558952455884,3,1,0,0,1,mixture/0.2/3/5/1
0.2,3,5,1,100,20,constant,single,0,1,1.0,4,0,0,,,mixture/0.2/3/5/1
0.2,3,5,1,100,20,constant,complete,0,1,1.0,4,0,0,,,mixture/0.2/3/5/1
0.2,3,5,1,100,20,constant,average,0,1,1.0,4,0,0,,,mixture/0.2/3/5/1
0.2,3,5,1,100,20,constant,pam,0,1,1.0,4,0,0,1,0,mixture/0.2/3/5/1
