alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,ari,mixture_key
1,4,5,0,10,400,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,10,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,10,400,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,10,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,10,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,10,450,800,constant,pam,0.9965581718965902,mixture/1/4/5/0
1,4,5,0,10,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,10,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,10,500,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,11,50,800,constant,single,0.000212856603649805,mixture/1/4/5/0
1,4,5,0,11,50,800,constant,average,0.6908537249797441,mixture/1/4/5/0
1,4,5,0,11,50,800,constant,pam,0.7036778808378314,mixture/1/4/5/0
1,4,5,0,11,100,800,constant,single,-8.88432262916327e-05,mixture/1/4/5/0
1,4,5,0,11,100,800,constant,average,0.7062040243062587,mixture/1/4/5/0
1,4,5,0,11,100,800,constant,pam,0.9044969837428557,mixture/1/4/5/0
1,4,5,0,11,150,800,constant,single,0.316684733612339,mixture/1/4/5/0
1,4,5,0,11,150,800,constant,average,0.7136903508699091,mixture/1/4/5/0
1,4,5,0,11,150,800,constant,pam,0.9240252391904834,mixture/1/4/5/0
1,4,5,0,11,200,800,constant,single,0.31688320029237127,mixture/1/4/5/0
1,4,5,0,11,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,11,200,800,constant,pam,0.9793995065242747,mixture/1/4/5/0
1,4,5,0,11,250,800,constant,single,0.3179849934781013,mixture/1/4/5/0
1,4,5,0,11,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,11,250,800,constant,pam,0.9827907209749998,mixture/1/4/5/0
1,4,5,0,11,300,800,constant,single,0.3179849934781013,mixture/1/4/5/0
1,4,5,0,11,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,11,300,800,constant,pam,0.9930659901760651,mixture/1/4/5/0
1,4,5,0,11,350,800,constant,single,0.3179849934781013,mixture/1/4/5/0
1,4,5,0,11,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,11,350,800,constant,pam,0.9965246699464473,mixture/1/4/5/0
1,4,5,0,11,400,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,11,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,11,400,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,11,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,11,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,11,450,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,11,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,11,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,11,500,800,constant,pam,0.9965246699464473,mixture/1/4/5/0
1,4,5,0,12,50,800,constant,single,-0.00011245857012998363,mixture/1/4/5/0
1,4,5,0,12,50,800,constant,average,0.9472295641522115,mixture/1/4/5/0
