alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
3.0,4,3125,0,3,500,200,constant-mc,pam,0,0.9333217806795482,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,600,200,constant-mc,single,0,0.5978449539337732,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,600,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,600,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,600,200,constant-mc,pam,0,0.9783992708611654,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,700,200,constant-mc,single,0,0.5978449539337732,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,700,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,700,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,700,200,constant-mc,pam,1,1.0,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,800,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,800,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,800,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,800,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,900,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,900,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,900,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,900,200,constant-mc,pam,1,1.0,3,0,0,0,1,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,1000,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,1000,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,1000,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,1000,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,100,200,constant-mc,single,0,0.0032811750135240585,22,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,100,200,constant-mc,complete,0,0.4073576181011877,22,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,100,200,constant-mc,average,0,0.8153242929438222,22,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,100,200,constant-mc,pam,0,0.5153579737683075,22,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,200,200,constant-mc,single,0,-0.004311801857361136,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,200,200,constant-mc,complete,0,0.9562402289027396,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,200,200,constant-mc,average,0,0.9258355317204577,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,200,200,constant-mc,pam,0,0.7794996539602893,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,300,200,constant-mc,single,0,0.0032811750135240585,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,300,200,constant-mc,complete,0,0.9682496021627286,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,300,200,constant-mc,average,0,0.9840089316309442,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,300,200,constant-mc,pam,0,0.786739361038574,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,400,200,constant-mc,single,0,0.3588250608042371,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,400,200,constant-mc,complete,0,0.9839885108593516,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,400,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,400,200,constant-mc,pam,0,0.9721365423866479,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,500,200,constant-mc,single,0,0.5862889118644437,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,500,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,500,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,500,200,constant-mc,pam,0,0.9527882743389782,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,600,200,constant-mc,single,0,0.5862889118644437,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,600,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,600,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,600,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,700,200,constant-mc,single,0,0.5840077980952751,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,700,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,700,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,700,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,800,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,800,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,800,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,800,200,constant-mc,pam,0,0.9839885108593516,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,900,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,900,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,900,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,900,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,1000,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,1000,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,1000,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,4,1000,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,100,200,constant-mc,single,0,0.022997061882174288,16,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,100,200,constant-mc,complete,0,0.8386206480657652,16,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,100,200,constant-mc,average,0,0.8465549510837689,16,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,100,200,constant-mc,pam,0,0.3922607199358648,16,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,200,200,constant-mc,single,0,0.011704244526378757,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,200,200,constant-mc,complete,0,0.9784012217271474,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,200,200,constant-mc,average,0,0.9730910617218684,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,200,200,constant-mc,pam,0,0.6471010610686484,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,300,200,constant-mc,single,0,0.39574523506062675,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,300,200,constant-mc,complete,0,0.9837594122633956,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,300,200,constant-mc,average,0,0.9837594122633956,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,300,200,constant-mc,pam,0,0.9258879290306822,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,400,200,constant-mc,single,0,0.556391000093385,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,400,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,400,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,400,200,constant-mc,pam,0,0.9837594122633956,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,500,200,constant-mc,single,0,0.5556755634375053,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,500,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,500,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,500,200,constant-mc,pam,0,0.9729693882116809,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,600,200,constant-mc,single,0,0.5556755634375053,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,600,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,600,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,600,200,constant-mc,pam,0,0.9891076528717027,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,700,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,700,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,700,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,700,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,800,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,5,800,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
