alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,3,2,400,constant,1,1,0.4604166666666666,0.008303300401153,0.4377475633872833,0.4830857699460499,60,0.95,mixture/0.1/3/5/2
0.1,3,2,400,constant,1,2,1.8655833333333327,0.0067429516105223,1.8471741876825765,1.8839924789840896,60,0.95,mixture/0.1/3/5/2
0.1,3,2,400,constant,2,2,0.1296666666666666,0.008297833992327,0.1070124874030672,0.1523208459302661,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,0,0,0.3993333333333335,0.0045072864214649,0.3870278479887635,0.4116388186779034,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,0,1,1.588,0.0053194027106189,1.5734773302655765,1.6025226697344233,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,0,2,1.785666666666667,0.0034244605882022,1.776317438408063,1.7950158949252706,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,1,1,0.4261666666666667,0.0057210665645956,0.4105474017291924,0.441785931604141,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,1,2,1.862766666666666,0.0038063555731866,1.8523748148200627,1.8731585185132693,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,2,2,0.1152,0.0049886198175062,0.1015804111135227,0.1288195888864772,60,0.95,mixture/0.1/3/5/2
0.1,3,3,400,constant,0,0,0.01525,0.0011548534282228,0.0120970980968848,0.0184029019031151,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,0,1,1.891083333333334,0.0161425026179997,1.8470121759193088,1.9351544907473583,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,0,2,1.4664166666666667,0.001822224949472,1.461441752646681,1.4713915806866524,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,1,1,0.1484999999999999,0.0174271283423255,0.1009216452291206,0.1960783547708793,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,1,2,1.4436666666666662,0.0050364023269836,1.429916625238433,1.4574167080948994,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,2,2,0.1630833333333333,0.0025519784799168,0.1561160960983702,0.1700505705682964,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,0,0,0.0093666666666666,0.0005908753760152,0.0077534990975065,0.0109798342358267,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,0,1,1.9553,0.0064897703074968,1.93758207263949,1.9730179273605093,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,0,2,1.4683999999999997,0.0011930116663965,1.4651429210828866,1.4716570789171128,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,1,1,0.0593999999999999,0.0069708513369302,0.0403686580916482,0.0784313419083517,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,1,2,1.4611000000000005,0.0021983172814806,1.455098304398596,1.4671016956014045,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,2,2,0.1574666666666666,0.0013232955494186,0.1538538955961712,0.161079437737162,60,0.95,mixture/0.1/3/5/3
0.1,3,4,400,constant,0,0,0.01675,0.0008637799599487,0.0143917669870139,0.019108233012986,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,0,1,1.987083333333333,0.0010582716072572,1.9841941125170872,1.989972554149579,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,0,2,1.9379166666666656,0.0022274978573124,1.9318353042514256,1.9439980290819057,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,1,1,0.5513333333333335,0.005230379892797,0.5370537076120047,0.5656129590546622,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,1,2,1.9335833333333337,0.0019567775404346,1.9282410730252844,1.9389255936413836,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,2,2,0.1278333333333333,0.0030747896594879,0.1194387527466026,0.136227913920064,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,0,0,0.0122333333333333,0.0006432468253654,0.0104771848124006,0.013989481854266,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,0,1,1.9894,0.0006505972918466,1.987623783737836,1.9911762162621636,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,0,2,1.9377666666666664,0.0013260464723019,1.9341463852145224,1.9413869481188104,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,1,1,0.5313333333333332,0.0034427248000623,0.5219342413717478,0.5407324252949186,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,1,2,1.937,0.001357548471734,1.93329371394196,1.940706286058039,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,2,2,0.1183333333333333,0.0018159162395543,0.113375642922006,0.1232910237446606,60,0.95,mixture/0.1/3/5/4
0.1,3,5,400,constant,0,0,0.6226666666666668,0.0188517359219065,0.5711989456445521,0.6741343876887815,60,0.95,mixture/0.1/3/5/5
0.1,3,5,400,constant,0,1,1.3956666666666668,0.0209487087727789,1.3384739336813711,1.4528593996519623,60,0.95,mixture/0.1/3/5/5
0.1,3,5,400,constant,0,2,1.3535,0.0049763565280017,1.339913891508413,1.3670861084915873,60,0.95,mixture/0.1/3/5/5
0.1,3,5,400,constant,1,1,0.1334166666666666,0.0099543390211705,0.1062400105845172,0.1605933227488161,60,0.95,mixture/0.1/3/5/5
0.1,3,5,400,constant,1,2,1.5154999999999996,0.0054910044567003,1.500508834906273,1.5304911650937263,60,0.95,mixture/0.1/3/5/5
0.1,3,5,400,constant,2,2,0.26225,0.0022437137545661,0.2561243660503274,0.2683756339496726,60,0.95,mixture/0.1/3/5/5
0.1,3,5,1000,constant,0,0,0.5652000000000001,0.0094708831224254,0.5393432421715809,0.5910567578284194,60,0.95,mixture/0.1/3/5/5
0.1,3,5,1000,constant,0,1,1.4233666666666671,0.0157919733360202,1.3802525003419372,1.466480832991397,60,0.95,mixture/0.1/3/5/5
0.1,3,5,1000,constant,0,2,1.3488666666666664,0.0024748984646942,1.342109868021353,1.35562346531198,60,0.95,mixture/0.1/3/5/5
