alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.3,4,5,0,4,800,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,4,900,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,4,900,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,4,900,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,4,900,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,4,1000,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,4,1000,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,4,1000,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,4,1000,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,100,200,constant,single,0,0.769657879178568,10,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,5,100,200,constant,complete,1,1.0,10,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,5,100,200,constant,average,1,1.0,10,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,5,100,200,constant,pam,1,1.0,10,0,0,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,200,200,constant,single,0,0.769657879178568,4,1,0,,,mixture/0.3/4/5/0
0.3,4,5,0,5,200,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,200,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,200,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,300,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,300,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,300,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,300,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,400,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,400,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,400,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,400,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,500,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,500,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,500,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,500,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,600,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,600,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,600,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,600,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,700,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,700,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,700,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,700,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,800,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,800,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,800,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,800,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,900,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,900,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,900,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,900,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,5,1000,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,1000,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,1000,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,5,1000,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,6,100,200,constant,single,0,0.6863991047232321,10,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,6,100,200,constant,complete,0,0.9596641521563548,10,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,6,100,200,constant,average,1,1.0,10,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,6,100,200,constant,pam,0,0.9471362560290169,10,0,0,1,0,mixture/0.3/4/5/0
0.3,4,5,0,6,200,200,constant,single,0,0.6863991047232321,6,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,6,200,200,constant,complete,0,0.987170254851062,6,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,6,200,200,constant,average,1,1.0,6,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,6,200,200,constant,pam,0,0.987170254851062,6,0,0,1,0,mixture/0.3/4/5/0
0.3,4,5,0,6,300,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,6,300,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,6,300,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,6,300,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,6,400,200,constant,single,1,1.0,5,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,6,400,200,constant,complete,1,1.0,5,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,6,400,200,constant,average,1,1.0,5,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,6,400,200,constant,pam,1,1.0,5,0,0,1,0,mixture/0.3/4/5/0
0.3,4,5,0,6,500,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,6,500,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,6,500,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,6,500,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,6,600,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,6,600,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,6,600,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,6,600,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
