alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.1,3,5,10,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/10
0.1,3,5,10,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/10
0.1,3,5,10,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/10
0.1,3,5,10,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/10
0.1,3,5,10,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/10
0.1,3,5,10,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/10
0.1,3,5,10,1000,200,constant,pam,0,1,1.0,3,1,1,0,1,mixture/0.1/3/5/10
0.1,3,5,11,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/11
0.1,3,5,11,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/11
0.1,3,5,11,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/11
0.1,3,5,11,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/11
0.1,3,5,11,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/11
0.1,3,5,11,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/11
0.1,3,5,11,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/11
0.1,3,5,11,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/11
0.1,3,5,12,400,200,constant,single,0,1,1.0,7,0,0,,,mixture/0.1/3/5/12
0.1,3,5,12,400,200,constant,complete,0,0,0.5540046377271722,7,0,0,,,mixture/0.1/3/5/12
0.1,3,5,12,400,200,constant,average,0,0,0.5827053931285009,7,0,0,,,mixture/0.1/3/5/12
0.1,3,5,12,400,200,constant,pam,0,0,0.7624063125651782,7,0,0,1,0,mixture/0.1/3/5/12
0.1,3,5,12,1000,200,constant,single,0,1,1.0,5,0,0,,,mixture/0.1/3/5/12
0.1,3,5,12,1000,200,constant,complete,0,0,0.6923700429121445,5,0,0,,,mixture/0.1/3/5/12
0.1,3,5,12,1000,200,constant,average,0,1,1.0,5,0,0,,,mixture/0.1/3/5/12
0.1,3,5,12,1000,200,constant,pam,0,0,0.8983205544203158,5,0,0,1,0,mixture/0.1/3/5/12
0.1,3,5,13,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/13
