alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,3,3,400,constant,0,0,0.01525000000000001,0.0011548534282228053,0.012097098096884827,0.018402901903115193,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,0,1,1.891083333333334,0.016142502617999727,1.8470121759193092,1.9351544907473586,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,0,2,1.4664166666666667,0.0018222249494720321,1.461441752646681,1.4713915806866524,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,1,1,0.14849999999999997,0.017427128342325567,0.10092164522912064,0.1960783547708793,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,1,2,1.4436666666666662,0.005036402326983692,1.429916625238433,1.4574167080948994,60,0.95,mixture/0.1/3/5/3
0.1,3,3,400,constant,2,2,0.16308333333333333,0.0025519784799168206,0.1561160960983702,0.17005057056829645,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,0,0,0.009366666666666672,0.0005908753760152538,0.00775349909750657,0.010979834235826776,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,0,1,1.9552999999999996,0.00648977030749685,1.93758207263949,1.9730179273605093,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,0,2,1.4683999999999997,0.0011930116663965169,1.4651429210828866,1.4716570789171128,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,1,1,0.05939999999999999,0.006970851336930226,0.04036865809164826,0.07843134190835171,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,1,2,1.4611000000000003,0.002198317281480657,1.455098304398596,1.4671016956014045,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,2,2,0.15746666666666667,0.0013232955494186143,0.15385389559617127,0.16107943773716207,60,0.95,mixture/0.1/3/5/3
0.1,3,4,400,constant,0,0,0.016750000000000008,0.000863779959948736,0.014391766987013964,0.019108233012986052,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,0,1,1.987083333333333,0.0010582716072572928,1.9841941125170872,1.989972554149579,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,0,2,1.9379166666666658,0.0022274978573124282,1.9318353042514258,1.9439980290819059,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,1,1,0.5513333333333335,0.005230379892797034,0.5370537076120047,0.5656129590546622,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,1,2,1.9335833333333339,0.0019567775404346656,1.9282410730252844,1.9389255936413834,60,0.95,mixture/0.1/3/5/4
0.1,3,4,400,constant,2,2,0.12783333333333333,0.0030747896594879734,0.11943875274660266,0.136227913920064,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,0,0,0.01223333333333334,0.0006432468253654655,0.010477184812400607,0.013989481854266074,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,0,1,1.9893999999999996,0.0006505972918466483,1.9876237837378359,1.9911762162621633,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,0,2,1.9377666666666664,0.0013260464723019079,1.9341463852145224,1.9413869481188104,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,1,1,0.5313333333333332,0.0034427248000623314,0.5219342413717478,0.5407324252949186,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,1,2,1.9369999999999996,0.0013575484717340102,1.9332937139419601,1.940706286058039,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,2,2,0.11833333333333332,0.0018159162395543502,0.113375642922006,0.12329102374466064,60,0.95,mixture/0.1/3/5/4
0.1,3,5,400,constant,0,0,0.6226666666666668,0.018851735921906584,0.5711989456445521,0.6741343876887815,60,0.95,mixture/0.1/3/5/5
0.1,3,5,400,constant,0,1,1.3956666666666668,0.02094870877277891,1.3384739336813711,1.4528593996519625,60,0.95,mixture/0.1/3/5/5
0.1,3,5,400,constant,0,2,1.3535000000000001,0.004976356528001717,1.339913891508413,1.3670861084915873,60,0.95,mixture/0.1/3/5/5
0.1,3,5,400,constant,1,1,0.13341666666666668,0.009954339021170579,0.10624001058451722,0.16059332274881613,60,0.95,mixture/0.1/3/5/5
0.1,3,5,400,constant,1,2,1.5154999999999996,0.005491004456700321,1.500508834906273,1.5304911650937263,60,0.95,mixture/0.1/3/5/5
